place_en,place_th,place_category_en,place_address_en,place_address_th,place_phone_number,place_website_url,place_image,lat_lng,place_code
Ramathibodi School of Nursing,โรงเรียนพยาบาลรามาธิบดี,Building,"Ramathibodi School of Nursing, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",โรงเรียนพยาบาลรามาธิบดี เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170,02 441 4234,https://www.rama.mahidol.ac.th/nursing/,https://lh5.googleusercontent.com/p/AF1QipPt_kKpX4GoekiFDPBrCKpu7ovkKCXuvfHQVqE9=s1920,"13.798600429431895, 100.32212746421004",RNS
Institute for Population and Social Research,สถาบันวิจัยประชากรและสังคม,Building,"Institute for Population and Social Research, Mahidol University, 999 Phuttamonthon 4 Road, Salaya, Nakhon Pathom 73170 Thailand",สถาบันวิจัยประชากรและสังคม มหาวิทยาลัยมหิดล เลขที่ 999 ถ.พุทธมณฑล สาย 4 ต. ศาลายา อ.พุทธมณฑล จ.นครปฐม 73170, 02 441 0201 ,https://ipsr.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipPrZ2vBFyCrHvXQJtTRZYEw9OLblUKboNhRsAsf=s1920,"13.797151400801951, 100.32482836175693",IPSR
White Duck Court & Canal,ลานเป็ดขาว,Park,,,,,https://lh5.googleusercontent.com/p/AF1QipPc-U1L8xYyZNLnyLpBneHmC2KCCt0zosoXaLLo=s1920,"13.796940226301496, 100.32351551007726",WDC
Institute of Molecular Biosciences,สถาบันชีววิทยาศาสตร์โมเลกุล,Building,"Institute of Molecular Biosciences, Mahidol University, 25/25 Phutthamonthon Sai 4 Road Salaya, Phutthamonthon Nakhonpathom, Thailand 73170",สถาบันชีววิทยาศาสตร์โมเลกุล มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170, 02 441 9003 ,https://mb.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipPctsI_KULvQ2V_O0HdTO4zlI64COmwCWfTyZt8=s1920,"13.797426838479051, 100.3259499277499",IMB
Center for Vaccine Development,ศูนย์วิจัยและพัฒนาวัคซีน,Building,"Center for Vaccine Development, Mahidol University, 25/25 Phutthamonthon Sai 4 Road Salaya, Phutthamonthon Nakhonpathom, Thailand 73170",ศูนย์วิจัยและพัฒนาวัคซีน มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,02 441 9003,https://mb.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipMrC2cV_vsF9go0VmQi52FBtqapB5RLDJp9LGEg=s1920,"13.797176211327146, 100.32577986071577",CVD
Center of Research and Development for Biomedical Instrumentation,ศูนย์วิจัยและพัฒนาอุปกรณ์ชีวการแพทย์,Building,"Center of Research and Development for Biomedical Instrumentation, Mahidol University, 25/25 Phutthamonthon Sai 4 Road Salaya, Phutthamonthon Nakhonpathom, Thailand 73170",ศูนย์วิจัยและพัฒนาอุปกรณ์ชีวการแพทย์ มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,02 441 9003,https://mb.mahidol.ac.th/6-center-for-biomedical-instrument/,https://lh5.googleusercontent.com/p/AF1QipMLelP6Uwd-5Ph1-ZCr8frvG9LJArHT5KzjuPif=s1920,"13.79761156008226, 100.3248247238526",CRB
MU-Bio Innovation Building,อาคารนวัตกรรมชีวภัณฑ์,Building,"MU-Bio Innovation Building, Mahidol University, 25/25 Phutthamonthon Sai 4 Road Salaya, Phutthamonthon Nakhonpathom, Thailand 73170",อาคารนวัตกรรมชีวภัณฑ์ มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,02 441 9003,https://mb.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipM_RsQ305mRQR6tB9aOnKdsQE4MTlmZkVmtUlyj=s1920,"13.79862,100.32490",BI
Excellence Training Center for Pharmaceutical and Herbal Product,ศูนย์ฝึกปฏิบัติเพื่อความเป็นเลิศด้านผลิตภัณฑ์และสมุนไพร,Building,"Excellence Training Center for Pharmaceutical and Herbal Product, Mahidol University, 25/25 Phutthamonthon Sai 4 Road Salaya, Phutthamonthon Nakhonpathom, Thailand 73170",ศูนย์ฝึกปฏิบัติเพื่อความเป็นเลิศด้านผลิตภัณฑ์และสมุนไพร มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,,,,"13.79843,100.32630",ETCPH
Research and Development for the Rubber Industry,อาคารปฏิบัติการและทดสอบยางล้อ,Building,"Research and Development for the Rubber Industry, Mahidol University, 25/25 Phutthamonthon Sai 4 Road Salaya, Phutthamonthon Nakhonpathom, Thailand 73170",อาคารปฏิบัติการและทดสอบยางล้อ มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,,,,"13.79895,100.32594",RDRI
Biotechnology Research and Development Center,อาคารโครงการวิจัยและพัฒนาเทคโนโลยีชีวภาพ,Building,"Biotechnology Research and Development Center, Mahidol University, 25/25 Phutthamonthon Sai 4 Road Salaya, Phutthamonthon Nakhonpathom, Thailand 73170",อาคารโครงการวิจัยและพัฒนาเทคโนโลยีชีวภาพ มหาวิทยาลัยมหิดล 25/25 หมู่ 5 ถนนพุทธมณฑลสาย 4 ตำบลศาลายา​ อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,,,,"13.79902,100.32640",BTRD
Golden Jubilee Medical Center,ศูนย์การแพทย์กาญจนาภิเษก,Building,"Golden Jubilee Medical Center, 888 Borommaratchachonnani Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170",ศูนย์การแพทย์กาญจนาภิเษก 888 หมู่ 6 ตำบลศาลายา อำเภอพุทธมณฑล จังหวัดนครปฐม 73170, 02 849 6600 ,https://www.gj.mahidol.ac.th/,https://lh5.googleusercontent.com/p/AF1QipOqN_n09bCAJYUlkdIdy_MEIRpIWZXKJoVFAMQ0=s1920,"13.786798871447893, 100.32148214031483",GJ
"Bellinee's Bake&Brew, Golden Jubilee Medical Center",Bellinee's Bake&Brew สาขาศูนย์การแพทย์กาญจนาภิเษก,Cafe,"Golden Jubilee Medical Center, 888 Borommaratchachonnani Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170",ศูนย์การแพทย์กาญจนาภิเษก 888 หมู่ 6 ตำบลศาลายา อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,(091) 001-7349,,https://lh5.googleusercontent.com/p/AF1QipOr38JlVsTyiD2i-C9jLkvnF9IEoqJW-vuVGqQD=s1920,"13.786846896177124, 100.32212220696363",
Golden Jubilee Food Court,ศูนย์อาหารกาญจนาภิเษก,Food,"Golden Jubilee Medical Center, 888 Borommaratchachonnani Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170",ศูนย์การแพทย์กาญจนาภิเษก 888 หมู่ 6 ตำบลศาลายา อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,028496600,,https://lh5.googleusercontent.com/p/AF1QipOf_xebWr4S-lf6vCTfpQqON517IxZcEjDrTdMC=s1920,"13.786367981468077, 100.32212184140067",
"Café Amazon, Golden Jubilee Medical Center",คาเฟ่ อะเมซอน สาขาศูนย์การแพทย์กาญจนาภิเษก,Cafe,"Golden Jubilee Medical Center, 888 Borommaratchachonnani Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170",ศูนย์การแพทย์กาญจนาภิเษก 888 หมู่ 6 ตำบลศาลายา อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,,,https://lh5.googleusercontent.com/p/AF1QipPfJzaGDey3VvtpoGmz8f89pr_w5_a4YFGk8TvF=s1920,"13.78652643868785, 100.32122738443925",
"Inthanin Coffee, Golden Jubilee Medical Center",อินทนิลคอฟฟี่ สาขาศูนย์การแพทย์กาญจนาภิเษก,Cafe,"Golden Jubilee Medical Center, 888 Borommaratchachonnani Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170",ศูนย์การแพทย์กาญจนาภิเษก 888 หมู่ 6 ตำบลศาลายา อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,(081) 648-9199,,https://lh5.googleusercontent.com/p/AF1QipOx24rY2NwsHvYapMIYJ0H7cB2AtXDKJze8pXw_=s1920,"13.786956825741006, 100.32150926061036",
At That Time Cafe & Bakery,At That Time Cafe & Bakery,Cafe,"MRI Center, 1st floor, Golden Jubilee Medical Center, 888 Borommaratchachonnani Rd, Salaya, Phutthamonthon District, Nakhon Pathom 73170",ศูนย์ MRI ชั้น 1 ศูนย์การแพทย์กาญจนาภิเษก 888 หมู่ 6 ตำบลศาลายา อำเภอพุทธมณฑล จังหวัดนครปฐม 73170,(081) 439-5907,,https://lh5.googleusercontent.com/p/AF1QipPYqdznbb5Rpw_xBUgbCgcwro89ifMKVs4685tx=s1920,"13.786967208811136, 100.31992504123272",
Ratchasuda College,วิทยาลัยราชสุดา,Building,"Ratchasuda College, 111 Moo 6, Phuttamonthon 4 Road,
Salaya, Nakhonpathom 73170, Thailand",วิทยาลัยราชสุดา 111 หมู่ 6 ถ.พุทธมณฑล สาย 4 ศาลายา นครปฐม 73170, 02 889 5315 ,https://rs.mahidol.ac.th,https://lh5.googleusercontent.com/p/AF1QipM0OSNbnIraL1esL2TQ96Vpub6zBRJD8dRi4kKo=s1920,"13.786832571529557, 100.32560091426424",RS
